invoice_id,contract_id,client_id,plant_id,billing_period,energy_delivered_mwh,capacity_charge_usd,energy_charge_usd,total_invoice_usd,invoice_date,payment_status,payment_date
INV00001,CTR001,CLI001,PLT001,2024-01,40005.48,58000.0,3940539.78,3998539.78,2024-01-31,PAID,2024-02-19
INV00002,CTR002,CLI001,PLT003,2024-01,15372.04,25500.0,1567948.08,1593448.08,2024-01-31,PAID,2024-02-21
INV00003,CTR003,CLI002,PLT002,2024-01,18971.19,31000.0,2006203.34,2037203.34,2024-01-31,PAID,2024-03-07
INV00004,CTR004,CLI003,PLT004,2024-01,19898.68,33000.0,1969969.32,2002969.32,2024-01-31,PAID,2024-02-23
INV00005,CTR005,CLI004,PLT005,2024-01,20253.46,32000.0,2055726.19,2087726.19,2024-01-31,PAID,2024-02-26
INV00006,CTR001,CLI001,PLT001,2024-01,36470.04,58000.0,3592298.94,3650298.94,2024-03-01,PAID,2024-03-23
INV00007,CTR002,CLI001,PLT003,2024-01,15849.04,25500.0,1616602.08,1642102.08,2024-03-01,OUTSTANDING,
INV00008,CTR003,CLI002,PLT002,2024-01,20193.66,31000.0,2135479.54,2166479.54,2024-03-01,PAID,2024-03-26
INV00009,CTR004,CLI003,PLT004,2024-01,19475.02,33000.0,1928026.98,1961026.98,2024-03-01,PAID,2024-03-19
INV00010,CTR005,CLI004,PLT005,2024-01,19846.83,32000.0,2014453.25,2046453.25,2024-03-01,PAID,2024-04-01
INV00011,CTR001,CLI001,PLT001,2024-03,38273.28,58000.0,3769918.08,3827918.08,2024-03-31,PAID,2024-05-04
INV00012,CTR002,CLI001,PLT003,2024-03,14799.57,25500.0,1509556.14,1535056.14,2024-03-31,PAID,2024-05-06
INV00013,CTR003,CLI002,PLT002,2024-03,19085.44,31000.0,2018285.28,2049285.28,2024-03-31,PAID,2024-04-28
INV00014,CTR004,CLI003,PLT004,2024-03,21628.18,33000.0,2141189.82,2174189.82,2024-03-31,PAID,2024-05-05
INV00015,CTR005,CLI004,PLT005,2024-03,20648.13,32000.0,2095785.2,2127785.2,2024-03-31,PAID,2024-05-08
INV00016,CTR001,CLI001,PLT001,2024-03,37922.9,58000.0,3735405.65,3793405.65,2024-04-30,PAID,2024-06-12
INV00017,CTR002,CLI001,PLT003,2024-03,17076.49,25500.0,1741801.98,1767301.98,2024-04-30,PAID,2024-05-25
INV00018,CTR003,CLI002,PLT002,2024-03,20825.69,31000.0,2202316.72,2233316.72,2024-04-30,PAID,2024-05-29
INV00019,CTR004,CLI003,PLT004,2024-03,20042.96,33000.0,1984253.04,2017253.04,2024-04-30,PAID,2024-05-25
INV00020,CTR005,CLI004,PLT005,2024-03,18804.31,32000.0,1908637.47,1940637.47,2024-04-30,PAID,2024-05-31
INV00021,CTR001,CLI001,PLT001,2024-04,34594.38,58000.0,3407546.43,3465546.43,2024-05-30,PAID,2024-06-28
INV00022,CTR002,CLI001,PLT003,2024-04,15864.07,25500.0,1618135.14,1643635.14,2024-05-30,PAID,2024-07-12
INV00023,CTR003,CLI002,PLT002,2024-04,19975.91,31000.0,2112452.48,2143452.48,2024-05-30,PAID,2024-07-07
INV00024,CTR004,CLI003,PLT004,2024-04,20836.92,33000.0,2062855.08,2095855.08,2024-05-30,PAID,2024-06-26
INV00025,CTR005,CLI004,PLT005,2024-04,19050.44,32000.0,1933619.66,1965619.66,2024-05-30,PAID,2024-06-14
INV00026,CTR001,CLI001,PLT001,2024-05,33545.24,58000.0,3304206.14,3362206.14,2024-06-29,PAID,2024-08-10
INV00027,CTR002,CLI001,PLT003,2024-05,16212.75,25500.0,1653700.5,1679200.5,2024-06-29,PAID,2024-08-12
INV00028,CTR003,CLI002,PLT002,2024-05,19305.99,31000.0,2041608.44,2072608.44,2024-06-29,PAID,2024-08-07
INV00029,CTR004,CLI003,PLT004,2024-05,20081.93,33000.0,1988111.07,2021111.07,2024-06-29,PAID,2024-07-25
INV00030,CTR005,CLI004,PLT005,2024-05,21437.72,32000.0,2175928.58,2207928.58,2024-06-29,PAID,2024-08-02
INV00031,CTR001,CLI001,PLT001,2024-06,38391.16,58000.0,3781529.26,3839529.26,2024-07-29,PAID,2024-09-10
INV00032,CTR002,CLI001,PLT003,2024-06,15900.44,25500.0,1621844.88,1647344.88,2024-07-29,PAID,2024-08-17
INV00033,CTR003,CLI002,PLT002,2024-06,19875.34,31000.0,2101817.21,2132817.21,2024-07-29,PAID,2024-09-10
INV00034,CTR004,CLI003,PLT004,2024-06,20681.51,33000.0,2047469.49,2080469.49,2024-07-29,PAID,2024-09-06
INV00035,CTR005,CLI004,PLT005,2024-06,20997.66,32000.0,2131262.49,2163262.49,2024-07-29,PAID,2024-08-15
INV00036,CTR001,CLI001,PLT001,2024-07,35664.32,58000.0,3512935.52,3570935.52,2024-08-28,PAID,2024-10-08
INV00037,CTR002,CLI001,PLT003,2024-07,15195.21,25500.0,1549911.42,1575411.42,2024-08-28,PAID,2024-09-30
INV00038,CTR003,CLI002,PLT002,2024-07,18674.4,31000.0,1974817.8,2005817.8,2024-08-28,PAID,2024-09-21
INV00039,CTR004,CLI003,PLT004,2024-07,21577.6,33000.0,2136182.4,2169182.4,2024-08-28,PAID,2024-09-14
INV00040,CTR005,CLI004,PLT005,2024-07,19356.54,32000.0,1964688.81,1996688.81,2024-08-28,PAID,2024-10-08
INV00041,CTR001,CLI001,PLT001,2024-08,36659.08,58000.0,3610919.38,3668919.38,2024-09-27,PAID,2024-11-04
INV00042,CTR002,CLI001,PLT003,2024-08,16845.87,25500.0,1718278.74,1743778.74,2024-09-27,PAID,2024-11-09
INV00043,CTR003,CLI002,PLT002,2024-08,18807.3,31000.0,1988871.97,2019871.97,2024-09-27,PAID,2024-10-14
INV00044,CTR004,CLI003,PLT004,2024-08,19401.74,33000.0,1920772.26,1953772.26,2024-09-27,PAID,2024-11-08
INV00045,CTR005,CLI004,PLT005,2024-08,21411.78,32000.0,2173295.67,2205295.67,2024-09-27,PAID,2024-11-05
INV00046,CTR001,CLI001,PLT001,2024-09,34049.08,58000.0,3353834.38,3411834.38,2024-10-27,PAID,2024-12-02
INV00047,CTR002,CLI001,PLT003,2024-09,16011.49,25500.0,1633171.98,1658671.98,2024-10-27,PAID,2024-11-11
INV00048,CTR003,CLI002,PLT002,2024-09,19808.98,31000.0,2094799.64,2125799.64,2024-10-27,PAID,2024-11-12
INV00049,CTR004,CLI003,PLT004,2024-09,21131.84,33000.0,2092052.16,2125052.16,2024-10-27,PAID,2024-11-20
INV00050,CTR005,CLI004,PLT005,2024-09,21199.62,32000.0,2151761.43,2183761.43,2024-10-27,PAID,2024-11-20
INV00051,CTR001,CLI001,PLT001,2024-10,38110.28,58000.0,3753862.58,3811862.58,2024-11-26,PAID,2024-12-18
INV00052,CTR002,CLI001,PLT003,2024-10,16430.57,25500.0,1675918.14,1701418.14,2024-11-26,PAID,2024-12-25
INV00053,CTR003,CLI002,PLT002,2024-10,18888.31,31000.0,1997438.78,2028438.78,2024-11-26,PAID,2024-12-25
INV00054,CTR004,CLI003,PLT004,2024-10,19906.29,33000.0,1970722.71,2003722.71,2024-11-26,PAID,2024-12-13
INV00055,CTR005,CLI004,PLT005,2024-10,19391.31,32000.0,1968217.97,2000217.97,2024-11-26,PAID,2024-12-22
INV00056,CTR001,CLI001,PLT001,2024-11,33163.77,58000.0,3266631.34,3324631.34,2024-12-26,PAID,2025-01-14
INV00057,CTR002,CLI001,PLT003,2024-11,15541.12,25500.0,1585194.24,1610694.24,2024-12-26,PAID,2025-02-07
INV00058,CTR003,CLI002,PLT002,2024-11,20459.92,31000.0,2163636.54,2194636.54,2024-12-26,PAID,2025-01-24
INV00059,CTR004,CLI003,PLT004,2024-11,22504.45,33000.0,2227940.55,2260940.55,2024-12-26,PAID,2025-01-18
INV00060,CTR005,CLI004,PLT005,2024-11,20321.82,32000.0,2062664.73,2094664.73,2024-12-26,PAID,2025-01-20
